sub_date,company_name,problem,outcome,ideal_merch,about,referral,kpis,email,attch,sub_id
,Tresl ,Data Analytics,Be empowered with accessible data analytics and segmentation,"I need a way to make sense of my customer data and use it to grow my business, but I don't have the technical expertise or resources to do it on my own.","Tresl is a data analytics platform that empowers online merchants to leverage their customer data to drive growth. Our platform provides a single source of truth for your data without the need for any technical expertise. With Tresl, you can easily segment your customer base, discover profitable segments, automate integrations with your existing marketing tools, and access insights to help you make data-driven decisions. Our platform is built by data scientists who have worked in leading tech companies, so you can be sure you're getting top-notch data science in an accessible, easy-to-use format. Tresl is fully certified and trusted by Shopify and our 2-week free trial allows you to test drive the product before committing.",,"Tresl analyzed White River's Shopify data to provide optimal customer purchase timings. ""With Tresl the guessing is replaced with science. When you have science on your side, you will always make more money.""
A 128% increase in purchases from subscribers by leveraging Tresl's cohort analyses. ""The Tresl team (John, Dan and the rest of the Customer Success, Engineering teams) really go above and beyond in being our secret weapon and supporting our hyper growth.""
ShortyLOVE sees 400% increase in Klaviyo revenue using Tresl's prebuilt segments and customer lifecycle grid. ""Tresl is a must-have Shopify app for any store serious about scaling their online eCommerce growth.""",humberto@tresl.co,,
,OctaneAI,Personalized sales,Personalize the customer experience and increase revenue.,"I am not able to understand my customer's needs and preferences, and cannot personalize the shopping experience for them, leading to lower conversion rates and revenue.","Octane AI is a cutting-edge e-commerce platform that helps businesses better understand their customers, personalize the shopping experience, and increase revenue. Our innovative features, such as product quizzes, customer insight surveys, and gift finders, allow businesses to collect customer insights and create engaging experiences that drive conversions. Additionally, our powerful AI technology allows businesses to easily personalize product recommendations, trigger personalized emails, and segment customers for targeted campaigns. Octane AI is Shopify Plus certified, and our team of experts is dedicated to helping businesses achieve their growth goals.",,"Chaz Dean increased AOV by 21% by routing site visitors to a quiz from the moment they landed on their store
Buckle Me Baby Coats reduced 95% of returns and exchanges by using a size finder quiz
Jones Road Beauty made 7 figures in 3 months by using Octane AI as a quiz funnel for their TikTok ads.",,,
,Klaviyo,Email Automation,Increase revenue and retention through behavior-based email and SMS automations.,"I struggle to retain customers and increase revenue through my current email marketing strategy, I need advanced personalization and automation tools","Klaviyo is a leading email marketing platform built specifically for ecommerce businesses. With Klaviyo, you can easily segment your customers, create personalized email campaigns, and automate your marketing efforts to drive more revenue and improve customer retention. With advanced personalization capabilities, behavior-based automations, and seamless integrations with over 300 ecommerce platforms, Klaviyo helps you maximize the ROI of your email marketing efforts. Over 100,000 brands rely on Klaviyo to grow their business and succeed in today's competitive ecommerce landscape.",,"Living Proof grew its revenue from email by 6x with the help of Klaviyo.
Annmarie Skin Care saw a 69.8x return on investment from using Klaviyo.
Graza successfully implemented a customer-first marketing approach and saw a 50% open rate by focusing on building relationships with their customers.
",partners@klaviyo.com,,
,KnoCommerce,Customer survey,Improve your ROI by gaining valuable customer insights.,"I am struggling to understand my customers behavior, preferences and purchase motivations, resulting in poor return on investment on my marketing and advertising efforts.","KnoCommerce is the leading customer insights platform for ecommerce businesses. We understand that understanding your customers is key to driving better ROI on your marketing and advertising efforts. That's why we've created a powerful survey platform that gives you the tools you need to gain the insights you need to make better decisions.

Our surveys are easy to deploy, fully customizable, and integrate seamlessly with popular ecommerce platforms like Shopify and Klaviyo. Plus, with advanced features like multi-touch attribution and audience segmentation, you can gain a deeper understanding of your customers than ever before.

With over 1,200 brands and $100,000,000 in monthly ad spend trusting us, KnoCommerce is the go-to solution for businesses looking to gain a competitive edge through customer insights. Try us out today and start gaining insights that drive better ROI!",,,bar@knocommerce.com,,
,Printful,Print-on-Demand,Sell custom products online without inventory,I am struggling to find a way to sell custom products online without having to hold inventory and handle the printing and shipping process myself.,"At Printful, we believe that everyone should have the opportunity to turn their ideas into premium products. That's why we've created a print-on-demand service that makes it easy for businesses and individuals to sell custom products online without having to hold inventory or handle the printing and shipping process themselves.

With Printful, you can choose from our wide selection of products including t-shirts, hats, hoodies, posters, and more, and customize them with your own designs. We'll handle the rest, from printing to shipping, and make sure your customers receive high-quality products under your own brand.

We are proud to offer local fulfillment centers, custom branding tools, reliable quality, intuitive design tools, smooth automation and no order minimums. With our print-on-demand service, you can reach your customers globally and focus on growing your business.

We are trusted by thousands of customers, our print-on-demand service is fully integrated with popular ecommerce platforms like Shopify, WooCommerce, and BigCommerce, and we have a wide range of options for connecting to other platforms or marketplaces.

Join the thousands of businesses and individuals who have chosen Printful to turn their ideas into premium products and boost their ecommerce brand. Sign up now and start fulfilling your ideas today.",,,annija.cimermane@printful.com ,,
,SaaS Back ,SaaS selection,Find the right eCommerce software solutions faster,I am struggling to find the right eCommerce software for my business and need help sifting through the thousands of options available,"SaaS Back is a platform that connects eCommerce businesses with trusted advisors who provide recommendations for software solutions based on their knowledge and experience. We exist to help businesses find the right software solutions faster, so that they can focus on growing their businesses and achieving their goals. ","eCommerce businesses looking for a reliable, genuine and professional solution recommendations for their software needs.",,team@saasback.com,,
2023-01-16 10:46:13,Avalara,Tax Compliance,"Automated tax compliance - tax calculation, returns filing, exemption certificate management","I am a merchant selling in the US, Canada, and/or globally and I am struggling to  automate my tax compliance process","Avalara is a cloud-based tax compliance solution built to handle every transaction in the world.

We provide a leading suite of cloud-based solutions designed to improve accuracy and efﬁciency by automating tax compliance. We deliver tax compliance in real-time to more than 30,000 customers with more than 1,200 signed partner integrations designed to link to business applications used for accounting, ERP, e-commerce, POS, recurring billing, and CRM systems.

Headquartered in Seattle, Avalara has offices across the U.S. and around the world.","Avalara supports clients of all sizes, from small businesses up to enterprise companies in all verticals, usually retail, manufacturing, SaaS, healthcare, etc.; 1200+ signed integrations into ERPs, CRMs, eCommerce platforms, and POS systems (common examples - Quickbooks, NetSuite, Microsoft, Salesforce, Magento, Shopify Plus, WooCommerce, etc.)","30,000+ customers, 1200+ signed integrations, We have an accuracy guarantee for AvaTax clients meaning if you are an AvaTax customer in good standing, and you suffer a negative audit finding and financial loss due to an inaccurate result returned by the Avalara service, we will pay your uncollected tax, penalties, and interest, or refund your prior 12 months’ service fee, whichever is lower.*",haley.johnson@avalara.com,https://www.jotform.com/uploads/team_team723/223087581834159/5497039711421097953/Avalara Partner Referral Form.docx,5.497039711421098e+18
2023-01-17 11:33:18,Zendesk,CX Support,"Best CX platform on the market, solutions that scale with growth",I am struggling to manage a high volume of customer interactions efficiently.,"Zendesk is a 14 year old customer service platform that empowers organizations and customer relationships by way of improving engagement to better understand their customers. The products are easy to use and implement,  giving organizations the flexibility to move quickly, focus on innovation, and scale with their growth. Think help desk, ticketing, chat, talk and everything that falls under the CX or customer experience umbrella.",Anyone looking to improve their current customer success platform or solution.,"Our customer HeartFlow, a MedTech company, integrated Zendesk into the rest of their tech stack to track & evolve customer data. The impact was a 98% customer retention rate and a 93% CSAT for both new and existing customers.

Our customer Veyo, a healthcare company based in America, was able to hire fewer admins and agents and easily deploy workflows, and the results were 68% faster first-time replies, saving $450K in annual headcount. 

Stanley Black & Decker blew away their Black Friday Regional Sales by over 500% without adding more headcount, and they used Zendesk to help adapt to holiday shopping surges while keeping a CSAT score of 95%",Please register any opportunities in our partner portal,https://www.jotform.com/uploads/team_team723/223087581834159/5497931983914042702/Zendesk Suite Datasheet with Pricing.pdf,5.497931983914042e+18
2023-01-26 6:32:56,Refersion,conversion tracking,Provide best in class tracking for affiliate and influencer programs,"I'm actively promoting 30-300 affiliates, early-mid stage business and serious about scaling, has at least one knowledgeable person managing the strategy and execution of growing the program","We  are Refersion, the leading ecommerce performance marketing platform.","We work with all ecommerce platforms, largely Shopify or Shopify Plus
Actively promoting 30-300 affiliates
Serious about scaling
Understands affiliate marketing strategy and execution
Looking for a tracking solution for conversions and affiliate activity
Health & Beauty, Food & Beverage, Beauty & Fashion verticals","https://www.refersion.com/case-studies/boardroom-socks/
https://www.refersion.com/case-studies/goorin-bros/ 
https://www.refersion.com/case-studies/in-common-beauty/",helpme@refersion.com,https://www.jotform.com/uploads/team_team723/223087581834159/5505527757423858239/PM_x_Refersion_V7.pdf,5.505527757423859e+18
2023-01-27 12:35:04,Skio,Sell subscriptions,Sell subscriptions without ripping your hair out,I am Shopify merchant that sell subscriptions.,"Passwordless login -> minimize support tickets
6x faster subscription editing -> get in and out without the headache
Hosted subscription portal ->  low cost of ownership",Shopify merchants that sell subscriptions,"- Sunsoil saw a 30% reduction in CS tickets after deploying by implementing passwordless login
- Stryx successfully migrated in less than 48hours",nick@skio.com,https://www.jotform.com/uploads/team_team723/223087581834159/5506609049453619022/Skio (1).png,5.506609049453619e+18
2023-02-05 7:18:59,AlphaSprouts,Audience targeting,"Increase acquisition, conversion, and loyalty with more precise audience targeting","I’m trying to target new and existing audiences based on individual interests and behavior, but lack visibility on unregistered users and limited to first-party data on existing ones.","AlphaSprouts empowers you to connect with customers more confidently, through the power of Web3 and token-gating. Our token-gating technology is like a better cookie. It gives you the ability to understand individual behavior comprehensively and anonymously - overcoming the limitations of both first-party and third-party cookies. With this power, you can improve customer acquisition, increase loyalty, and grow LTV to new heights.",Anyone on Shopify (for now),"We helped IGK Hair see 10x the reach, 6x the engagement, and 30% more conversions by utilizing the blockchain for marketing.",grow@alphasprouts.xyz,https://www.jotform.com/uploads/team_team723/223087581834159/5514195380423560636/AlphaSprouts one-sheet.pdf,5.51419538042356e+18
2023-02-08 5:09:48,Gorgias,Ecommerce Helpdesk,Turn your customer service into a profit center.,"I am a merchants with 50+ support tickets per month, looking to enhance support, respond faster, automate responses and grow through exceptional customer service.","Gorgias centralizes all your support tickets in one place and allows you to manage your customer support across all channels, including social media: You will have all your customer's data displayed when you're talking to them. Edit orders, modify subscriptions, and refund payments without leaving your helpdesk.

Gorgias enables automation of repetitive tasks: From tasks like cutting and pasting commonly asked questions, to fully automating and closing out tickets, your support team will spend less time looking busy, and more time talking to customers.","GMV: $250k+/yr on Shopify, Magento, BigCommerce looking for a helpdesk.","- Princess Polly (clothing brand) increased their team efficiency by 40%, reduced their resolution time by 95% and increased their online orders by 75%. 
- Brumate (premium drinkware brand) made $9m from automating repetitive tasks and answering customers' questions in Live Chat.
- Kulani Kinis (swimwear brand) saved $400k in Returns and drove $80k in Revenue by using Gorgias + Loop.",milagros.gonzales@gorgias.com,https://www.jotform.com/uploads/team_team723/223087581834159/5516709734315348134/Gorgias 1-Pager.pdf,5.516709734315348e+18
